Gender,Age_at_Matriculation,Marital_Status_Binary,Special_Needs_Status,Mother_Education_Level,Father_Education_Level,Mother_Occupation,Father_Occupation,First_Generation_Student,UTME_PostUME_Score,Secondary_School_Exit_Grade,Study_Mode,Faculty,Year_of_Study,Non_Resident_Student,Hostel_Residency,School_Fees_Payment_Status,Fee_Arrears_Status,Bursary_Scholarship_Status,Units_Registered_Semester_1,Units_Passed_Semester_1,Assessments_Sat_Semester_1,Units_No_Assessment_Semester_1,GPA_Semester_1_5pt,Pass_Rate_Semester_1,Units_Registered_Semester_2,Units_Passed_Semester_2,Assessments_Sat_Semester_2,Units_No_Assessment_Semester_2,GPA_Semester_2_5pt,Pass_Rate_Semester_2,CGPA_5point_Scale,GPA_Change,Dropout_Status
1,37,0,0,38,37,9,6,1,102.5,130.0,1,Social_Sciences,3,0,0,0,1,0,7,0,7,0,0.0,0.0,7,1,7,0,2.5,0.143,1.25,2.5,1
1,43,0,0,34,37,0,0,1,128.8,133.1,1,Social_Sciences,1,1,0,1,0,0,5,0,0,0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,1
0,55,0,0,37,37,6,6,1,122.9,140.0,1,Social_Sciences,1,0,0,1,0,0,5,1,10,0,2.5,0.2,5,2,8,2,3.0,0.4,2.75,0.5,1
0,39,1,0,19,19,9,3,1,113.9,120.0,0,Medicine,3,1,0,1,0,0,5,5,8,0,2.75,1.0,5,5,5,0,2.9,1.0,2.82,0.15,0
0,20,0,0,4,4,3,6,0,120.0,120.0,1,Sciences,2,0,0,0,1,0,6,3,13,0,2.92,0.5,6,3,11,0,3.0,0.5,2.96,0.08,1
0,18,0,0,3,3,2,2,0,121.1,126.0,1,Arts,1,0,0,1,1,0,6,4,6,0,3.19,0.667,5,0,5,0,0.0,0.0,1.6,-3.19,1
0,22,0,0,3,19,2,7,0,120.4,133.0,1,Engineering,2,1,1,1,0,0,5,5,5,0,3.7,1.0,5,5,5,0,3.95,1.0,3.82,0.25,0
0,22,0,1,1,3,2,2,0,100.6,103.0,1,Sciences,1,1,1,1,0,0,7,5,9,0,3.48,0.714,8,7,9,0,3.59,0.875,3.54,0.11,0
0,20,0,0,1,38,5,5,1,121.4,120.0,1,Sciences,4,0,0,0,0,0,6,4,7,0,3.25,0.667,6,5,7,0,3.45,0.833,3.35,0.2,1
0,29,0,0,37,37,9,9,1,109.7,133.1,0,Medicine,1,0,0,1,0,0,5,0,0,0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,1
0,24,0,0,38,38,4,5,1,134.1,154.0,0,Law,3,0,0,1,0,0,5,2,9,0,2.88,0.4,5,3,11,1,3.58,0.6,3.23,0.7,0
0,18,0,0,19,19,9,9,1,127.6,130.0,1,Medicine,1,1,1,1,0,0,6,6,6,0,2.92,1.0,6,5,8,0,3.3,0.833,3.11,0.38,0
0,22,0,0,37,19,7,7,1,132.4,132.0,1,Medicine,2,1,1,1,0,1,7,6,8,0,3.38,0.857,8,7,9,0,3.44,0.875,3.41,0.06,0
0,21,0,0,1,19,9,9,1,133.4,130.0,0,Engineering,2,0,0,1,0,1,6,6,6,0,2.88,1.0,6,6,7,0,3.32,1.0,3.1,0.44,0
0,19,0,0,37,38,9,9,1,126.1,139.0,1,Engineering,1,0,0,1,0,1,6,5,7,0,3.08,0.833,6,6,7,0,3.21,1.0,3.14,0.13,0
0,24,0,0,19,38,9,7,1,113.5,130.0,1,Arts,5,0,1,1,0,1,6,6,6,0,3.42,1.0,6,6,6,0,3.54,1.0,3.48,0.12,0
0,19,0,0,37,38,6,6,1,121.3,139.0,1,Social_Sciences,3,1,0,1,0,1,8,6,10,0,2.96,0.75,8,6,10,0,2.96,0.75,2.96,0.0,0
0,20,0,0,1,19,7,7,1,121.8,127.0,1,Social_Sciences,4,1,1,1,0,1,6,4,11,0,3.5,0.667,6,3,12,0,2.75,0.5,3.12,-0.75,0
0,19,0,0,37,37,90,90,1,159.3,167.0,1,Engineering,4,0,0,1,0,0,5,5,7,0,3.68,1.0,5,5,5,0,3.95,1.0,3.82,0.27,0
0,27,0,0,38,38,9,9,1,120.0,130.0,0,Social_Sciences,2,0,0,1,0,0,5,5,12,0,2.65,1.0,5,5,10,0,2.75,1.0,2.7,0.1,1
0,18,0,0,1,19,5,5,1,129.1,130.0,1,Social_Sciences,4,1,0,1,0,0,7,7,9,0,3.26,1.0,8,8,10,0,3.4,1.0,3.33,0.14,0
0,39,1,0,1,3,4,3,0,130.0,130.0,1,Sciences,1,0,0,1,0,0,6,0,10,0,0.0,0.0,6,0,6,0,0.0,0.0,0.0,0.0,1
0,27,0,0,3,3,2,2,0,155.3,129.0,1,Social_Sciences,1,1,0,1,0,0,6,5,9,0,3.25,0.833,11,10,13,0,3.22,0.909,3.24,-0.03,1
0,18,0,0,38,38,7,10,1,139.8,141.0,1,Social_Sciences,1,1,0,1,0,0,8,8,8,0,3.73,1.0,8,8,8,0,3.73,1.0,3.73,0.0,0
0,18,0,0,38,37,4,9,1,115.2,125.0,1,Social_Sciences,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0
0,18,0,0,19,19,9,9,1,114.9,125.0,1,Engineering,2,0,0,1,0,0,7,6,8,0,3.28,0.857,8,7,12,0,3.06,0.875,3.17,-0.22,0
0,21,0,0,19,1,9,9,1,131.9,130.0,1,Arts,1,0,0,1,0,1,6,6,7,0,3.0,1.0,6,6,7,0,3.0,1.0,3.0,0.0,0
1,19,0,0,1,37,4,7,1,126.0,133.0,1,Sciences,3,1,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0
1,19,0,0,1,1,3,4,1,130.2,127.0,1,Engineering,2,1,0,1,0,0,6,5,6,0,2.85,0.833,6,1,8,0,2.5,0.167,2.68,-0.35,0
1,24,0,0,1,1,3,3,1,120.9,116.0,1,Arts,1,0,0,1,0,0,6,0,6,0,0.0,0.0,6,0,6,0,0.0,0.0,0.0,0.0,0
1,29,1,0,1,1,5,5,1,126.0,133.1,1,Social_Sciences,2,1,1,1,0,0,7,5,10,0,2.98,0.714,8,5,10,0,2.75,0.625,2.86,-0.23,1
1,19,0,0,19,19,5,3,1,128.2,139.0,1,Engineering,1,1,1,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0
1,23,0,0,19,37,9,9,1,130.0,130.0,1,Arts,3,1,1,1,0,0,6,6,8,0,3.14,1.0,6,6,7,0,3.11,1.0,3.12,-0.03,0
1,19,0,0,1,38,7,7,1,120.1,125.0,1,Social_Sciences,1,0,0,1,1,0,5,5,8,0,2.8,1.0,5,4,10,3,2.69,0.8,2.74,-0.11,1
1,26,0,0,19,37,7,10,1,100.0,160.0,1,Arts,5,0,0,1,0,0,6,6,7,0,3.0,1.0,6,5,8,0,2.7,0.833,2.85,-0.3,0
1,18,0,0,38,37,5,5,1,134.0,148.0,1,Arts,3,0,0,1,0,0,5,0,9,0,0.0,0.0,5,0,5,0,0.0,0.0,0.0,0.0,0
1,24,0,0,37,19,8,4,1,130.8,150.0,1,Social_Sciences,1,0,0,1,0,0,7,7,8,0,2.99,1.0,8,8,8,0,3.44,1.0,3.22,0.45,0
1,19,0,0,19,19,5,10,1,135.8,141.0,1,Social_Sciences,1,1,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1
1,18,0,0,38,37,5,7,1,111.7,118.0,1,Sciences,3,1,1,1,0,0,6,3,12,0,2.92,0.5,6,1,12,0,3.0,0.167,2.96,0.08,1
1,18,0,0,38,38,9,9,1,132.9,142.0,1,Engineering,3,1,0,1,0,0,6,6,8,0,3.08,1.0,6,3,11,0,3.08,0.5,3.08,0.0,0
1,18,0,0,19,19,4,7,1,115.5,120.0,1,Social_Sciences,3,1,0,1,1,0,5,3,8,0,2.58,0.6,5,3,11,0,2.71,0.6,2.64,0.13,1
1,21,0,0,19,37,7,7,1,106.0,106.0,1,Social_Sciences,3,1,1,1,0,1,6,4,8,0,2.62,0.667,6,1,11,0,2.75,0.167,2.68,0.13,1
1,19,0,0,1,19,9,8,1,120.3,121.0,1,Social_Sciences,1,1,0,1,1,1,6,6,6,0,3.42,1.0,6,6,6,0,3.33,1.0,3.38,-0.09,0
1,22,0,0,38,37,9,9,1,130.8,150.0,1,Engineering,2,0,0,1,0,1,7,7,7,0,3.71,1.0,8,8,9,0,3.76,1.0,3.74,0.05,0
1,33,1,0,37,37,9,6,1,117.0,120.0,0,Sciences,1,0,1,1,0,0,6,6,8,0,3.0,1.0,6,6,6,0,2.92,1.0,2.96,-0.08,0
1,20,0,0,19,19,9,9,1,110.2,114.0,1,Social_Sciences,4,1,1,1,0,0,6,5,8,0,3.05,0.833,6,5,7,0,3.05,0.833,3.05,0.0,1
1,35,0,0,3,3,2,2,0,155.7,140.0,0,Engineering,2,1,0,1,0,0,1,0,1,1,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,1
1,24,0,0,3,3,4,2,0,180.4,160.0,1,Arts,1,0,0,1,1,0,12,6,17,0,3.04,0.5,12,10,14,0,3.32,0.833,3.18,0.28,1
1,18,0,0,19,19,4,4,1,125.5,120.0,1,Sciences,1,0,0,1,0,0,5,5,6,0,3.0,1.0,5,3,8,0,2.83,0.6,2.92,-0.17,0
0,33,1,0,37,37,9,6,1,110.0,130.0,0,Social_Sciences,1,1,1,1,0,0,6,6,7,0,2.75,1.0,6,5,11,0,2.75,0.833,2.75,0.0,0
0,22,0,0,37,38,9,7,1,161.0,160.0,1,Medicine,1,1,0,1,0,1,8,7,8,0,3.27,0.875,8,7,8,0,3.27,0.875,3.27,0.0,0
0,25,0,0,1,19,4,5,1,100.0,120.0,1,Sciences,3,0,0,1,0,1,5,4,7,0,2.62,0.8,5,5,7,0,2.9,1.0,2.76,0.28,0
1,20,0,0,19,38,4,0,1,117.6,124.0,1,Social_Sciences,2,1,0,1,0,0,6,6,9,1,2.67,1.0,6,5,6,0,2.8,0.833,2.74,0.13,0
1,23,0,0,38,37,9,9,1,128.7,143.0,1,Sciences,4,1,1,1,0,0,5,4,6,0,3.5,0.8,5,5,5,0,3.45,1.0,3.48,-0.05,0
1,18,0,0,38,19,9,6,1,112.2,115.0,1,Social_Sciences,2,1,0,1,1,0,5,2,9,0,2.5,0.4,5,0,9,0,0.0,0.0,1.25,-2.5,0
1,24,0,0,1,1,4,10,1,100.8,133.1,1,Social_Sciences,1,0,0,1,0,0,7,0,18,0,0.0,0.0,7,0,7,0,0.0,0.0,0.0,0.0,1
0,21,0,0,19,1,9,9,1,105.0,133.1,1,Social_Sciences,3,1,1,0,0,0,6,6,6,0,3.5,1.0,6,6,6,0,3.38,1.0,3.44,-0.12,0
0,26,0,0,1,1,4,4,1,100.0,133.1,1,Social_Sciences,3,0,0,1,0,0,6,2,7,1,3.0,0.333,6,0,6,0,0.0,0.0,1.5,-3.0,1
0,39,1,0,37,34,0,0,1,115.5,133.1,1,Law,2,0,0,1,0,0,6,3,12,0,3.17,0.5,6,0,14,1,0.0,0.0,1.58,-3.17,1
0,44,1,0,37,19,9,9,1,114.0,133.1,0,Sciences,3,0,0,1,0,0,8,8,11,0,2.97,1.0,6,6,7,0,3.08,1.0,3.03,0.11,0
1,19,0,0,38,3,9,2,0,137.0,130.0,1,Sciences,2,1,0,1,0,0,5,5,9,0,3.5,1.0,5,3,11,0,3.31,0.6,3.4,-0.19,0
0,18,0,0,37,1,5,5,1,124.9,135.0,1,Law,2,1,1,1,0,0,6,6,6,0,3.42,1.0,6,6,6,0,3.33,1.0,3.38,-0.09,0
0,18,0,0,37,37,7,7,1,120.3,132.0,1,Social_Sciences,2,1,0,1,0,1,7,7,7,0,3.44,1.0,8,8,9,0,3.62,1.0,3.53,0.18,0
0,19,0,0,1,2,9,1,0,134.3,135.0,1,Law,1,1,0,1,0,0,5,5,7,2,3.55,1.0,5,5,7,0,3.45,1.0,3.5,-0.1,0
0,19,0,0,3,3,2,2,0,111.5,115.0,1,Social_Sciences,1,1,0,0,1,0,7,4,10,0,2.99,0.571,7,0,7,0,0.0,0.0,1.5,-2.99,1
0,21,0,0,38,38,9,9,1,128.8,130.0,1,Law,1,0,0,1,0,0,10,8,12,0,3.22,0.8,9,5,14,0,3.35,0.556,3.28,0.13,1
0,20,0,0,1,1,9,10,1,110.0,133.1,1,Social_Sciences,2,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0
0,36,1,0,37,37,6,5,1,113.5,130.0,0,Arts,1,1,1,1,0,0,6,0,0,0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,1
0,43,1,0,37,37,9,6,1,160.0,133.1,1,Medicine,2,0,0,1,0,0,18,18,19,0,3.66,1.0,13,13,14,1,3.56,1.0,3.61,-0.1,0
0,19,0,0,19,19,9,7,1,117.4,123.0,1,Social_Sciences,4,1,1,1,0,0,6,0,0,0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,1
0,20,0,0,3,1,2,8,0,122.2,130.0,1,Sciences,1,0,0,1,1,0,10,10,12,0,3.25,1.0,11,11,11,0,3.07,1.0,3.16,-0.18,0
0,19,0,0,37,38,4,7,1,118.2,122.0,1,Engineering,2,1,1,1,0,0,6,0,0,0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,1
0,20,0,0,1,1,4,4,1,106.7,113.0,1,Sciences,3,1,1,1,0,0,6,4,15,0,3.55,0.667,6,4,17,0,3.31,0.667,3.43,-0.24,1
0,20,0,0,3,4,4,3,0,108.2,111.0,1,Engineering,1,1,0,1,0,0,7,6,9,0,3.32,0.857,7,5,10,0,3.08,0.714,3.2,-0.24,1
0,20,0,0,19,1,9,3,1,107.0,133.1,1,Engineering,1,1,0,1,0,0,7,6,12,0,2.92,0.857,7,3,10,0,3.25,0.429,3.08,0.33,0
0,18,0,0,37,37,6,7,1,136.1,142.0,1,Social_Sciences,1,1,0,1,0,0,6,6,8,0,3.46,1.0,6,6,6,0,3.75,1.0,3.6,0.29,0
0,18,0,0,1,38,4,7,1,115.3,123.0,1,Social_Sciences,1,1,0,1,0,1,5,3,9,0,3.25,0.6,5,3,11,0,2.75,0.6,3.0,-0.5,0
0,19,0,0,19,19,9,9,1,139.8,131.0,1,Social_Sciences,4,1,1,1,0,0,5,5,6,0,3.35,1.0,5,5,5,0,3.2,1.0,3.28,-0.15,0
0,18,0,0,1,38,4,7,1,157.0,158.0,1,Social_Sciences,3,1,1,1,0,0,6,6,6,0,3.17,1.0,6,6,7,0,3.14,1.0,3.16,-0.03,0
0,18,0,0,37,37,9,9,1,131.0,122.0,1,Sciences,2,1,1,1,0,0,7,6,7,1,3.13,0.857,7,6,7,1,3.13,0.857,3.13,0.0,1
0,20,0,0,38,38,9,5,1,100.0,130.0,1,Sciences,4,0,1,1,0,0,7,6,11,0,2.9,0.857,7,7,7,0,3.25,1.0,3.08,0.35,0
0,20,0,0,19,37,9,7,1,140.4,154.0,1,Sciences,3,1,0,1,0,1,6,2,13,0,2.5,0.333,6,4,12,0,2.69,0.667,2.6,0.19,0
0,20,0,0,19,19,3,3,1,113.4,120.0,1,Social_Sciences,1,0,0,1,0,0,5,3,11,0,2.58,0.6,5,3,10,0,2.67,0.6,2.62,0.09,0
0,18,0,0,37,38,9,7,1,137.0,140.0,1,Engineering,4,0,0,1,0,0,5,5,12,2,3.29,1.0,5,5,6,0,2.85,1.0,3.07,-0.44,0
0,18,0,0,2,19,4,5,0,121.8,127.0,1,Engineering,2,0,0,1,0,0,5,5,5,0,3.15,1.0,5,5,5,0,3.5,1.0,3.32,0.35,0
0,21,0,0,1,1,4,5,1,131.0,133.1,1,Social_Sciences,3,1,0,1,0,0,6,3,12,0,2.75,0.5,6,2,12,0,2.75,0.333,2.75,0.0,1
0,19,0,0,19,19,9,7,1,118.6,120.0,1,Law,4,1,1,1,0,0,5,5,8,0,2.7,1.0,5,4,9,2,2.81,0.8,2.76,0.11,0
0,19,0,0,3,19,2,9,0,122.3,137.0,1,Sciences,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1
0,19,0,0,38,38,9,9,1,127.9,131.0,1,Social_Sciences,1,0,0,1,0,1,5,5,5,0,3.2,1.0,5,5,5,0,3.55,1.0,3.38,0.35,0
0,19,0,0,19,38,4,7,1,121.3,130.0,1,Arts,1,1,1,1,0,0,6,6,15,0,3.54,1.0,6,6,13,0,3.05,1.0,3.3,-0.49,0
0,19,0,0,1,1,4,5,1,117.1,122.0,1,Arts,2,1,1,1,0,0,7,5,12,0,3.02,0.714,7,0,0,0,0.0,0.0,1.51,-3.02,1
0,20,0,0,37,37,9,9,1,160.0,160.0,1,Medicine,3,1,1,1,0,0,6,6,7,0,3.54,1.0,6,5,17,0,3.44,0.833,3.49,-0.1,0
0,18,0,0,19,38,9,3,1,145.3,146.0,1,Sciences,4,1,0,1,0,1,6,5,8,0,3.2,0.833,6,5,7,0,3.35,0.833,3.28,0.15,0
0,18,0,0,1,39,5,3,1,122.6,131.0,1,Sciences,1,1,1,1,0,0,6,6,7,0,3.25,1.0,6,6,6,0,3.42,1.0,3.34,0.17,0
0,19,0,0,1,37,8,9,1,128.0,132.0,1,Law,2,1,0,1,0,0,7,7,7,0,3.37,1.0,8,8,9,0,3.75,1.0,3.56,0.38,0
0,18,0,0,19,19,5,8,1,124.9,138.0,1,Social_Sciences,2,1,0,1,0,1,7,7,9,0,3.31,1.0,8,7,9,0,3.44,0.875,3.38,0.13,1
0,18,0,0,37,37,9,9,1,123.7,130.0,1,Social_Sciences,1,1,1,1,0,0,6,6,6,0,3.08,1.0,6,6,6,0,3.25,1.0,3.16,0.17,0
0,19,0,0,1,19,4,8,1,120.1,126.0,1,Arts,1,1,0,1,0,0,5,5,7,0,3.1,1.0,5,5,5,0,3.65,1.0,3.38,0.55,0
0,19,0,0,1,19,3,3,1,131.7,148.0,1,Arts,1,1,0,1,0,0,7,5,8,0,3.5,0.714,7,0,7,0,0.0,0.0,1.75,-3.5,1
0,20,0,0,38,37,9,7,1,133.2,130.0,1,Medicine,4,0,0,1,0,0,9,9,15,0,2.92,1.0,7,7,8,0,2.93,1.0,2.92,0.01,0
0,19,0,0,1,38,3,9,1,109.3,117.0,1,Medicine,1,0,0,0,1,1,6,5,7,0,3.0,0.833,6,4,9,0,3.12,0.667,3.06,0.12,1
0,20,0,0,19,19,5,5,1,113.0,120.0,1,Arts,2,1,1,1,0,0,5,4,7,0,3.05,0.8,5,4,5,0,2.88,0.8,2.96,-0.17,0
0,18,0,0,1,1,141,175,1,157.9,153.0,1,Engineering,3,0,0,1,1,1,6,6,6,0,3.71,1.0,6,6,6,0,3.71,1.0,3.71,0.0,0
0,20,0,0,19,1,4,7,1,112.1,117.0,1,Law,2,0,0,1,0,1,7,5,9,0,3.3,0.714,8,7,9,0,3.22,0.875,3.26,-0.08,0
0,18,0,0,19,1,4,8,1,174.7,178.0,1,Sciences,5,0,0,1,0,0,7,7,8,0,4.28,1.0,8,8,8,0,4.4,1.0,4.34,0.12,0
0,19,0,0,37,37,9,9,1,128.8,129.0,1,Engineering,5,1,0,1,0,0,7,6,7,0,3.17,0.857,7,6,7,0,3.17,0.857,3.17,0.0,0
0,19,0,0,19,1,4,4,1,110.1,116.0,1,Law,1,1,0,1,0,1,6,6,8,0,3.17,1.0,6,5,10,0,3.0,0.833,3.08,-0.17,0
0,22,0,0,3,1,3,3,0,99.7,99.0,1,Engineering,2,1,1,0,1,0,5,0,8,0,0.0,0.0,5,0,7,0,0.0,0.0,0.0,0.0,0
0,19,0,0,1,12,9,10,1,121.0,135.0,1,Engineering,1,1,1,1,0,1,6,6,7,0,2.83,1.0,6,6,6,0,2.88,1.0,2.86,0.05,0
0,19,0,0,19,19,9,7,1,131.7,141.0,1,Sciences,1,1,1,1,0,1,7,7,10,0,3.4,1.0,8,8,11,0,3.08,1.0,3.24,-0.32,0
0,19,0,0,37,38,5,6,1,119.1,132.0,1,Law,1,1,1,1,0,1,6,5,10,0,3.0,0.833,6,5,9,0,2.7,0.833,2.85,-0.3,0
0,19,0,0,12,19,9,9,1,124.7,132.0,1,Social_Sciences,2,1,1,1,0,0,5,0,10,0,0.0,0.0,5,0,10,0,0.0,0.0,0.0,0.0,1
0,20,0,0,1,37,9,10,1,117.2,113.0,1,Arts,2,1,1,1,0,0,6,5,8,0,2.8,0.833,6,3,12,0,2.92,0.5,2.86,0.12,1
0,18,0,0,3,19,2,10,0,128.8,134.0,1,Engineering,1,0,1,1,0,0,5,5,10,0,3.34,1.0,5,5,9,0,3.54,1.0,3.44,0.2,0
0,20,0,0,1,19,9,9,1,131.5,136.0,1,Arts,1,0,0,1,0,1,7,6,8,0,3.47,0.857,8,7,9,0,3.54,0.875,3.5,0.07,0
